Hap Index 	Expression Value 	Expression Level 	Prediction 
91 	 15.516784 	 2 	 Level 3 
92 	 22.538936 	 3 	 Level 3 
93 	 14.343870 	 2 	 Level 1 
94 	 17.597318 	 2 	 Level 3 
95 	 6.326249 	 0 	 Level 1 
96 	 15.557771 	 2 	 Level 2 
97 	 15.051367 	 2 	 Level 2 
98 	 6.606308 	 1 	 Level 0 
99 	 21.547486 	 3 	 Level 3 
100 	 23.143197 	 3 	 Level 3 
101 	 1.990638 	 0 	 Level 1 
102 	 27.407551 	 4 	 Level 4 
103 	 14.318275 	 2 	 Level 2 
104 	 1.631645 	 0 	 Level 0 
105 	 22.329464 	 3 	 Level 3 
106 	 16.147966 	 2 	 Level 2 
107 	 8.444995 	 1 	 Level 0 
108 	 4.533969 	 0 	 Level 0 
109 	 10.154657 	 1 	 Level 1 
110 	 22.668659 	 3 	 Level 3 
111 	 20.092583 	 3 	 Level 3 
112 	 18.009123 	 2 	 Level 2 
113 	 8.398199 	 1 	 Level 1 
114 	 29.956945 	 4 	 Level 4 
115 	 5.673119 	 0 	 Level 0 
116 	 17.208470 	 2 	 Level 3 
117 	 3.949260 	 0 	 Level 0 
118 	 14.429981 	 2 	 Level 2 
119 	 24.696176 	 4 	 Level 3 
120 	 18.705624 	 3 	 Level 3 
121 	 3.059072 	 0 	 Level 0 
122 	 22.666570 	 3 	 Level 3 
123 	 6.022199 	 0 	 Level 1 
124 	 26.583817 	 4 	 Level 3 
125 	 25.890361 	 4 	 Level 4 
126 	 18.441980 	 3 	 Level 3 
127 	 9.363489 	 1 	 Level 0 
128 	 29.110359 	 4 	 Level 3 
129 	 14.612829 	 2 	 Level 2 
130 	 9.075889 	 1 	 Level 0 
131 	 5.718533 	 0 	 Level 0 
132 	 6.643733 	 1 	 Level 1 
133 	 21.709012 	 3 	 Level 3 
134 	 28.572705 	 4 	 Level 3 
135 	 6.342715 	 0 	 Level 0 
136 	 21.665566 	 3 	 Level 3 
137 	 22.928295 	 3 	 Level 3 
138 	 22.978055 	 3 	 Level 3 
139 	 26.921839 	 4 	 Level 3 
140 	 14.374966 	 2 	 Level 1 
141 	 10.710067 	 1 	 Level 0 
142 	 6.787655 	 1 	 Level 0 
143 	 19.958263 	 3 	 Level 2 
144 	 11.541766 	 1 	 Level 1 
145 	 23.926670 	 3 	 Level 3 
146 	 16.765729 	 2 	 Level 3 
147 	 23.272167 	 3 	 Level 3 
148 	 5.801148 	 0 	 Level 1 
149 	 6.252254 	 0 	 Level 1 
